input,instruction,span_start,span_end,span_text,output
,Who was there?,0.0,0.0,Paula ,Paula
,Were there any couples?,0.0,808.0,the Dyers,Yes
,What wa his reaction to Hurlstone?,1384.0,1493.0,"But to his surprise the cautious priest only shrugged his shoulders as he took a complacent pinch of snuff. 
",shrugged his shoulders
,did she try telling everything to andrew?,214.0,254.0,0,definitely
,How many defendents survive the direct review process?,1114.0,1124.0,60 percent,60 percent
,What trophies did Maxwell win in his two full seasons with Barcelona?,0.0,165.0,"three spanish super cups , two european super cups , two league titles , two club world cups and one champions league","three spanish super cups , two european super cups , two league titles , two club world cups and one champions league"
,Who did George come to see?,104.0,123.0, saw Lady Harcourt;,Lady Harcourt
,What does Al-Zatari thinks Darfur needs?,477.0,500.0,humanitarian assistance,humanitarian assistance
,Is Shuttlesworth still alive?,80.0,89.0, has died,no
,What items did John need to make soup?,0.0,0.0,"sugar , lettuce , tomatoes and cheese","sugar , lettuce , tomatoes and cheese"
,Did any other organization ban him?,508.0,594.0,Chisora was banned by the World Boxing Council and the British Boxing Board of Control,yes
,what date did he go,735.0,745.0,April 2008,April 2008
,And Danny ?,98.0,0.0,Mouse,Mouse
,Who came later?,1092.0,1137.0,"Following a Japanese occupation in the 1940s,",the Japanese
,What was she doing?,523.0,597.0,Sandy who was playing with some dolls the doctor also had for the children,playing with dolls
,Who is the lizard?,651.0,0.0,Tony,Tony
,Who is a teacher at the University of Pennsylvania?,542.0,614.0," Yuhua Wang, a political science professor at University of Pennsylvania",Yuhua Wang
,"What is the ""Curse of the Bambino"" and when did it begin?",228.0,228.0,0,1918
,How long was the nephew in the settlement where Clarke lived?,1380.0,0.0,0,week
,how many subgenera is it divided into?,0.0,954.0,The genus is divided into three subgenera,three
,But what is the population growth rat like?,1133.0,1192.0, but by far the one with the highest population growth rate,The highest population growth rate.
,Did anybody die?,529.0,0.0,0,Five U.S. soldiers
,did he?,292.0,378.0,0,No.
,What instructions did Mr. Villiers give to the officer in charge of the Treasury?,276.0,282.0,packed the money in ammunition - boxes,packed the money in ammunition - boxes
,how many borders does it share ?,193.0,345.0,0,Six
,anything else?,0.0,290.0,Wenchuan earthquake,Wenchuan earthquake
,How did it end?,366.0,378.0,a long pool ,a long pool
,What motivated Brendan Eich to resign from Mozilla?,106.0,119.0,criticism of his contribution to a 2008 initiative to ban same - sex marriage,criticism of his contribution to a 2008 initiative to ban same - sex marriage
,how many parts does it have?,409.0,449.0,"Equatorial Guinea consists of two parts,",Two
,Was there a term related to race that was taken out of the census?,0.0,144.0,"The biggest change in this year's census was in racial classification. Enumerators were instructed to no longer use the ""Mulatto"" classification",Yes
,How long will he be in prison?,8.0,112.0, A war crimes tribunal for Rwanda sentenced the African nation's former army chief to 30 years in prison,30 years
,What's her favorite dish to prepare?,525.0,533.0,pea soup,pea soup
,How?,1093.0,1118.0,with the side curtains up,with the side curtains up
,Who is the European Ryder cup captain?,454.0,500.0,European Ryder Cup captain Jose Maria Olazabal,Jose Maria Olazabal
,How does she feel about playing?,786.0,811.0,I am enjoying every match,she enjoys it
,What did Mrs. Williamson think of Eric's plan to visit the Gordons?,93.0,108.0,seemed to look upon him as one bent on bearding a lion in his den,seemed to look upon him as one bent on bearding a lion in his den
,How many toppings are suggested?,0.0,407.0,"various condiments, such as mayonnaise, mustard, and ketchup. Many variations exist, including frying the meat first and adding various garnishes such as cheese slices, pickles, tomatoes, and onions.",Six
,Who is he named after?,0.0,982.0,"Emmitt Perry Sr., a construction worker",Emmitt Perry Sr.
,Who directed him to the chair?,186.0,240.0,0,His teacher
,Why?,898.0,983.0,"I say he is not fighting fair,"" repeated Dick stoutly. ""He has something in each hand",He thinks Dick has something in each hand
,When did Angola gain independence from Portugal?,0.0,233.0,1975,1975
,what were they doing now?,74.0,118.0,0,eating hotdogs
,what had he done?,467.0,483.0,kindled the fire,kindled the fire
,Did it have financial troubles in the beginning?,349.0,444.0,"Unable to pay the printing bill, Cole and Gardiner turned the paper over to the Mirror Company.",yes
,What does Norgate pull out when they are seated?,1246.0,1252.0,cigars,cigars
,Who else was sainted at the same time?,29.0,46.0,Pope John Paul II,Pope John Paul II
,Is it diversely populated?,685.0,767.0,The legacy of both empires is reflected in Ecuador's ethnically diverse population,Yes
,Why did Amazon acquire Mobipocket in 2005?,0.0,180.0,adobe systems ’ announcement that it would no longer sell its ebook packaging and serving software,adobe systems ’ announcement that it would no longer sell its ebook packaging and serving software
,According to who is the it considered and alpha city?,671.0,734.0,0,the Globalization and World Rankings Research Institute
,What is the trail called?,805.0,906.0,"This is Addison's Walk, Miss Oswald,' said Berkeley, taking her through the gate into the wooded path",Addison's Walk
,Located where?,1119.0,0.0,the University of Illinois,the University of Illinois
,what does it stand for?,0.0,43.0,The British Broadcasting Corporation (BBC) ,The British Broadcasting Corporation
,did the person drive home?,705.0,0.0,Then I walked back to my house,No
,who did it bring him in front of,1455.0,1502.0,The turn brought him directly in front of Dave.,Dave
,Has he had recent failures?,0.0,497.0, recent successes,No
,What is he concerned about?,353.0,395.0,he's concerned about the family's finances,family finances
,Why did Laura want to go to the park?,47.0,77.0, she wanted to see her friends,she wanted to see her friends
,How many of York's institutions are involved with this?,775.0,834.0,0,Two
,Where did this event take place?,9.0,92.0,"Utility companies will return Sunday to restore power in parts of Rayne, Louisiana,","Rayne, Louisiana"
,What kind of movie did Tom think they would watch?,78.0,0.0, He wondered what sort of movie it would be.,He wondered about it.
,What book is this a chapter from?,0.0,116.0,"
Midsummer-Night's Dream. ",Midsummer-Night's Dream.
,What 14 volume work of his still carries significant canonical authority as a codification of Talmudic law?,0.0,1238.0,Mishneh Torah,Mishneh Torah
,What was in there?,389.0,440.0,"n her house was a bed, dresser, table and telephone","a bed, dresser, table and telephone"
,What is the definition of information technology (IT)?,19.0,37.0,"the application of computers to store , study , retrieve , transmit , and manipulate data , or information","the application of computers to store , study , retrieve , transmit , and manipulate data , or information"
,What were the main characteristics of the Hellenistic period compared to the Classical era?,147.0,157.0,"transition , sometimes even of decadence or degeneration","transition , sometimes even of decadence or degeneration"
,Who else was there?,1207.0,1222.0,said Babbalanja,Babbalanja
,what was it originally named?,106.0,0.0,Founded in 1746 in Elizabeth as the College of New Jersey,College of New Jersey
,Was it tasty?,615.0,632.0, delicious dinner,yes
,where did they find a tree?,504.0,540.0, There was a large tree in the park.,the park.
,who is Didier?,1438.0,1492.0,"Five generations before Rousseau, his ancestor Didier,",an ancestor of Rousseau
,Were the people calm?,1112.0,1178.0,Of the entire crowd Jerry was the only one to keep perfectly cool.,No
,And another?,1678.0,1733.0," the Frankfurt Book Fair, the world's largest book fair",the Frankfurt Book Fair
,What did Hardie say about smoking?,132.0,136.0,almost as bad as drink,almost as bad as drink
,Any other example?,1122.0,1183.0,0,Yes.
,What was it called?,0.0,-1.0,unknown,unknown
,what is a prom posal ?,0.0,625.0,invites,invites
,How far away was the Burger's house from Oscar Pistorius' house?,346.0,347.0,177 meters,177 meters
,What does he ask Bess to recall?,0.0,1498.0,"""What of that? Bess, I'll get angry at you in a moment. Remember you've been pent up all your life. I venture to say that if you'd been out in the world you d have had a dozen sweethearts and have told many a lie before this."" ",She has been pent up her whole life
,Why did the small monkey want to get away from the other monkeys?,678.0,708.0,wanted to find somewhere quiet,wanted to find somewhere quiet
,Was he arrested?,596.0,733.0,"McKelvey was charged with three counts of aggravated assault, possession of a stun gun and possession of a weapon for unlawful purposes. ",yes
,How many countries is it bordered by?,299.0,342.0,"Bangladesh, India, China, Laos and Thailand",Five
,What is the mission of the National Institute of Standards and Technology?,50.0,0.0,promote innovation and industrial competitiveness,promote innovation and industrial competitiveness
,In what country is it located?,136.0,188.0,"company with head offices in London, United Kingdom.",United Kingdom.
,Until when?,635.0,0.0,Occupied by Spain until the late 20th century,the late 20th century
,What did he observe next?,314.0,330.0,a cat name Walt ,a cat name Walt
,Why couldn't his mom enjoy the turkey?,1473.0,1585.0,0,Herbert didn't have any teeth
,How did Benitez die?,652.0,666.0,0,Heart Attack
,How many countries are the working in?,1219.0,1260.0," It's active in 17 countries worldwide. 
",17
,Why did he stop by Greshamsbury?,1106.0,1152.0,He called at Greshamsbury to see Lady Arabella,to see Lady Arabella
,overseeing aid what areas where ?,902.0,924.0,Middle East countries ,Middle East countries
,Who was the oldest?,0.0,1058.0, princes William,William
,and who was she discussing this with?,877.0,892.0,Lady Carey said,Lady Carey
,why by?,453.0,486.0,"Miss Arundel had found Lothair. 
",Miss Arundel
,What is popular in northwest china?,1426.0,1463.0, Islam is popular in Northwest China ,Islam.
,Are others missing?,368.0,515.0,"Sarah Maynard's mother, Tina Herrmann, 32, remains missing, along with 10-year-old Kody Maynard and Herrmann's friend, 41-year-old Stephanie Sprang",yes
,What country did that jet eventually make an emergency landing in?,834.0,843.0,Austrian ,Austria
,What problems did the state have?,1651.0,1803.0,"Emigration to the West was a significant problem - as many of the emigrants were well-educated young people, it further weakened the state economically.",emigration
,Is there archaeological evidence of baptism?,1374.0,1440.0, archaeological evidence of Christian baptism from the 3rd century,yes
,What is the primary listing of Philips on the Euronext Amsterdam stock exchange?,267.0,0.0,philips has a primary listing on the euronext amsterdam stock exchange and is a component of the euro stoxx 50 stock market index,philips has a primary listing on the euronext amsterdam stock exchange and is a component of the euro stoxx 50 stock market index
,For how long?,0.0,1233.0,about two weeks,about two weeks
,When was Miyake born?,1094.0,1154.0,"Born in Miyagi Prefecture in Honshu, north of Tokyo, in 1939",1939
,How much time could he get?,1411.0,1458.0,0,34 years behind bars
,"Is ""north Africa"" defined?",499.0,532.0,most commonly accepted definition,somewhat
,Who is he?,450.0,470.0,opposition candidate,opposition candidate
,is Fir still used in English now for pines?,794.0,845.0," in modern English, ""fir"" is now restricted to fir ",no
,What did Ferris want Hardwick to put in a word for him for?,16.0,16.0,[SEP],[SEP]
,what was another name for India,479.0,488.0,Hindustan,Hindustan
,where did he think it was trying to get them to go?,1200.0,1224.0,o go to Sand Haven while,Sand Haven
,Where did he never have the intention of going behond?,203.0,0.0,0,Yellala
,What movie is the story about?,0.0,187.0,The Big Lebowski,The Big Lebowski
,what forms most of the border between cornwall and devon?,0.0,298.0,River Tamar,River Tamar
,Who was killed?,365.0,401.0,"Daniel Abreu, 29, and Safiro Furtado",Daniel Abreu and Safiro Furtado
,How far away was that?,1431.0,1439.0,70 miles,70 miles
,How does he think China should feel about Fang?,625.0,712.0,"He added, ""Sooner or later, there will be a day when China will be proud of Fang Lizhi.",Proud of Fang Lizhi.
,about what?,876.0,911.0, business and personal humiliations,business and personal humiliations
,Was she dehydrated?,585.0,605.0,extremely dehydrated,Yes
,"What is the theme of Robert Goolrick's novel, ""Heading Out to Wonderful""?",376.0,393.0,a drifter who takes up with the wife of the richest man in small - town virginia,a drifter who takes up with the wife of the richest man in small - town virginia
,in what time frame,382.0,0.0,a 15-year period,a 15-year period
,What is named for him?,334.0,352.0,"The ""Miyake Pull"" ",Miyake Pull
,What did someone tell him?,699.0,719.0,not to talk that way,not to talk that way
,was someone extra polite?,787.0,1193.0,0,No
,What helps you not be noticed at night?,79.0,215.0, Night-vision devices using active near-infrared illumination allow people or animals to be observed without the observer being detected,Night-vision devices
,How old is he?,289.0,0.0,"Such tidbits are rolling out these days from the 22-year-old hero of Holywood, Northern Ireland, ",22
,What does she anticipate?,1361.0,1421.0,said she expects the law to mandate recounts in 19 districts,the law to mandate recounts
,What is the name of the rule associated with mixed race heritage?,330.0,391.0," no matter the fraction of that lineage (the ""one-drop rule"")",One-drop rule
,Who was one of them?,1348.0,1548.0,"Louise and Beth, having at last full knowledge of their cousin's desire to increase their bequests, were openly very grateful for her good will; although secretly they could not fail to resent Patsy's",Louise
,WHAT TYPE OF VIDEOS DID HE OFTEN APPEAR IN?,1001.0,1040.0,appeared in numerous recruitment videos,ecruitment videos
,How old was he?,1126.0,1128.0,28,28
,what is it's official name?,0.0,42.0,"Lesotho, officially the Kingdom of Lesotho",the Kingdom of Lesotho
,what was this meaning referring to?,754.0,858.0,By the 2nd century AD the word was used in literary criticism to describe writers of the highest quality,writers of the highest quality
,Are they fricatives?,176.0,0.0,"Therefore, approximants fall between fricatives, which do produce a turbulent airstream, and vowels, which produce no turbulence. ",no
,Does he agree with the charges?,879.0,896.0,charges he denies,no
,"With local control by warlords, until when?",0.0,1375.0,with local control exercised by warlords until the 1930s,1930s
,Who last won from Great Britain?,0.0,932.0,home winner of the men's singles since Fred Perry ,Fred Perry
,Were the 2 states equal?,908.0,960.0,the Austrian and the Hungarian states were co-equal.,yes
,How are they referred to in Spanish?,109.0,126.0,Pueblos indígenas,Pueblos indígenas. As Pueblos indigenas.
,what did Marston pay attention to in the man's outfit?,1551.0,1626.0,His wide black belt was spun from the finest silk and Marston noted his hat,his hat
,Who is Ibrahim Hassan al-Asiri and what is his suspected link to the packages found in the UAE and UK?,152.0,155.0,al qaeda bomb maker,al qaeda bomb maker
,What did the col. order?,1435.0,1617.0,"While Pohl would not grant the defense's request to drop charges against Sinclair, he ordered that the general be provided a possible plea deal, in addition to several other options.",that the general be provided a possible plea deal
,On which day?,71.0,86.0,on Sunday night,on Sunday night
,what did Ben say they asked for?,0.0,803.0," We only asked for what is fair, didn't we?"" ",what is fair
,How old was the girl?,0.0,260.0,9-year-old girl,Nine
,Did he think the police chief is part of the mob?,1357.0,1511.0,"Quintana Roo state prosecutor Bello Melchor Rodriguez y Carrillo said last week there was no doubt Tello and the others were victims of organized crime. 
",Yes
,Does God have a gender?,430.0,466.0,"without any human biological gender,",no
,How did Ringo Starr get to the hotel for the interview?,56.0,56.0,driven,driven
,did he take legal action as a result of this happening?,902.0,947.0,Bradley filed a civil suit against Hernandez ,yes
,Who were the fatalities?,15.0,46.0,Pakistani paramilitary soldiers,Pakistani paramilitary soldiers
,What did he say?,1055.0,0.0,"""Christie 's growing handsome,""","""Christie 's growing handsome,"""
,how many people was with Eustace ?,273.0,316.0,"with her child, her nurse, and her own maid",Three
,Did the connection make the boys happy?,1365.0,1375.0,Sam smiled,yes
,What?,-1.0,-1.0,unknown,unknown
,What was he doing?,587.0,605.0,cleaning a carbine,cleaning a carbine
,Did prince know about it?,514.0,563.0,"""Why did you not tell me before?"" he exclaimed. 
",no
,What sign of affection does she show him?,1274.0,1290.0,. I kissed him. ,she kissed him.
,is that an acronym?,0.0,41.0,0,Yes
,What is an example of a social practice?,1430.0,1483.0,0,"kinship, gender and marriage"
,what is the nightlife capital of the region?,930.0,936.0,Beirut,Beirut
,Was Mellow Man Ace every inducted into the Hip Hop hall of fame?,347.0,440.0," Mellow Man, referred to as the ""Godfather of Latin rap"" and a Hip Hop Hall of Fame inductee,",yes
,And what was the title of the other one?,205.0,213.0,Governor,Governor
,Did Cheditafa see any of those?,1182.0,1188.0,"No, no",No
,What was the reason for the delay in searching for Terry Kimball's remains?,303.0,305.0,0,snow had melted
,what must be requested in person or by mail?,643.0,764.0,Photocopies for private study of pages from books published between 1801 and 1990 can be requested in person or by mail. ,Photocopies
,What did BSkyB become after its merger in November 1990?,35.0,0.0,the uk ' s largest digital subscription television company,the uk ' s largest digital subscription television company
,What was Webster's first name?,234.0,267.0," In 1843, after Noah Webster died",Noah.
,What is the Lethal Injection Secrecy Act?,139.0,170.0,"extreme secrecy surrounding the execution process in georgia , and the new lethal injection secrecy act , which took effect one day before georgia issued a death warrant for mr . hill","extreme secrecy surrounding the execution process in georgia , and the new lethal injection secrecy act , which took effect one day before georgia issued a death warrant for mr . hill"
,How many Grammys has she won?,928.0,962.0,0,three
,What are the voting procedures for the United Nations General Assembly?,276.0,279.0,two - thirds majority,two - thirds majority
,How did Joe select the idea for the show?,93.0,123.0,"he took everyone ' s idea , put it into a hat , mixed them up , and picked one idea . he read the idea out loud to his friends","he took everyone ' s idea , put it into a hat , mixed them up , and picked one idea . he read the idea out loud to his friends"
,Where was that?,0.0,241.0,the Punjab province,The Punjab province.
,Who was that?,433.0,446.0,the Carbonels,the Carbonels
,what is his first name?,764.0,778.0,Caron shivered,Caron
,when was it created?,843.0,870.0,Timely Publications in 1939,1939
,Who is driving?,226.0,230.0,Dave,Dave
,What time of day was it?,4.0,0.0,morning,morning
,What was the name of the album that Roger Williams released shortly before his death?,249.0,250.0,autumn leaves,autumn leaves
,Who sought funding for the beginning of this publication?,660.0,740.0,"Jann Wenner and Ralph Gleason. To get it off the ground, Wenner borrowed $7,500 ",Jann Wenner
